nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status
TAKODA Sumaré Campus;TAKODA;Est. M Luiz Fernandes Breda;13171-412;Sumaré;;Brazil;-22.86322251584453;-47.28033038868878;1;0;Facility;Colocation;AI-Ready;https://www.datacentermap.com/brazil/sao-paulo/takoda-sumare-campus/;96;96;;;;Purpose-built;;;;;;;;;;;;;;;;;;;1;1;1;1;0;0;1;;0;0;0;0;0;0;0;0;0;;;ok;ok
TAKODA Sumaré - SP3;TAKODA;Est. M Luiz Fernandes Breda;13171-412;Sumaré;;Brazil;-22.86322251584453;-47.28033038868878;1;0;Facility;Colocation;AI-Ready;https://www.datacentermap.com/brazil/sao-paulo/takoda-sumare-sp3/;18;18;;;2027;Purpose-built;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
TAKODA Sumaré - SP4;TAKODA;Est. M Luiz Fernandes Breda;13171-412;Sumaré;;Brazil;-22.86322251584453;-47.28033038868878;1;0;Facility;Colocation;AI-Ready;https://www.datacentermap.com/brazil/sao-paulo/takoda-sumare-sp4/;;;;;;Purpose-built;;;;;;;;;;;;;;;;;;;1;1;1;1;0;0;1;;0;0;0;0;0;0;0;0;0;;;ok;ok
TAKODA Sumaré - SP5;TAKODA;Est. M Luiz Fernandes Breda;13171-412;Sumaré;;Brazil;-22.86322251584453;-47.28033038868878;1;0;Facility;Colocation;AI-Ready;https://www.datacentermap.com/brazil/sao-paulo/takoda-sumare-sp5/;;;;;;Purpose-built;;;;;;;;;;;;;;;;;;;1;1;1;1;0;0;1;;0;0;0;0;0;0;0;0;0;;;ok;ok
Teccloud Campo Bom;Teccloud Stefanini;Av. dos Municípios, 5510 - Vila Santa Lucia;93544-750;Campo Bom;;Brazil;-29.67133054619021;-51.04449783146063;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/teccloud-campo-bom/;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Teccloud Porto Alegre;Teccloud Stefanini;Rua 18 de Novembro, 273/502 - Navegantes;90240-040;Porto Alegre;;Brazil;-29.9987344;-51.1937557;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/teccloud-porto-alegre/;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Tecto São Paulo 1;Tecto Data Centers;Estr. Mun. Bela Vista - Alphaville;06532-040;Santana de Parnaíba;;Brazil;-23.4513504;-46.904908;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/tecto-so-paulo-1/;200;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Tecto TPOA1;Tecto Data Centers;Av. Willy Eugênio Fleck, 505 - Rubem Berta;91150-010;Porto Alegre;;Brazil;-29.9956142;-51.119042;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/tecto-tpoa1/;20;20;;;2026;Retrofitted;Sole-tenant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
TELEPORTO RJ;Unknown Company;Av. Pres. Vargas, 3131 - Centro;20210-030;Rio de Janeiro;;Brazil;-22.9101249;-43.2043945;1;2;Multi-Tenant Building;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/teleporto-rj/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;79;2;0;;2124;ok;ok
Telium Data Center - POA;Telium Networks;Av. Independência, 1299;90035073;Porto Alegre;RS;Brazil;-30.02869020222021;-51.20765321534026;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/telium-data-center--poa/;;;;;;;;;2N+1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;12;0;0;;13052;bloqueado;ok
