site_id,ano_overlap,classe_id,classe_nome,area_landsat_2018_ha,area_landsat_ano_ha,area_s2_ano_ha,degrau_publicado_ha,degrau_publicado_pp,controle_real_landsat_ha,artefato_sensor_ha,razao_artefato_sobre_controle,veredito
ascenty-jundiai,2020,2,vegetacao_rala,4534.65,4073.49,4059.82,-474.83,-4.8723,-461.16,-13.67,0.03,DISTINGUIVEL
ascenty-jundiai,2020,3,solo_exposto_obras,195.03,124.56,1486.25,1291.22,12.8546,-70.47,1361.69,19.323,NAO_DISTINGUIVEL
ascenty-jundiai,2020,4,construida_urbana,2472.84,2332.08,1120.87,-1351.97,-13.5437,-140.76,-1211.21,8.605,NAO_DISTINGUIVEL
ascenty-jundiai,2020,5,agua,51.57,58.59,92.34,40.77,0.4044,7.02,33.75,4.808,NAO_DISTINGUIVEL
ascenty-jundiai,2021,1,vegetacao_densa,2754.27,2610.54,2999.98,245.71,2.3605,-143.73,389.44,2.71,NAO_DISTINGUIVEL
ascenty-jundiai,2021,2,vegetacao_rala,4534.65,4493.88,4283.65,-251.0,-2.643,-40.77,-210.23,5.156,NAO_DISTINGUIVEL
ascenty-jundiai,2021,3,solo_exposto_obras,195.03,154.8,1531.34,1336.31,13.3037,-40.23,1376.54,34.217,NAO_DISTINGUIVEL
ascenty-jundiai,2021,4,construida_urbana,2472.84,2730.6,1141.85,-1330.99,-13.3348,257.76,-1588.75,6.164,NAO_DISTINGUIVEL
ascenty-jundiai,2021,5,agua,51.57,48.6,83.22,31.65,0.3136,-2.97,34.62,11.657,NAO_DISTINGUIVEL
ascenty-maracanau,2019,1,vegetacao_densa,1520.28,1800.0,961.95,-558.33,-5.6009,279.72,-838.05,2.996,NAO_DISTINGUIVEL
ascenty-maracanau,2019,2,vegetacao_rala,2394.54,2524.5,2899.98,505.44,4.9303,129.96,375.48,2.889,NAO_DISTINGUIVEL
ascenty-maracanau,2019,3,solo_exposto_obras,89.91,60.57,799.31,709.4,7.0413,-29.34,738.74,25.179,NAO_DISTINGUIVEL
ascenty-maracanau,2019,4,construida_urbana,5807.88,5430.96,5108.43,-699.45,-7.1616,-376.92,-322.53,0.856,NAO_DISTINGUIVEL
ascenty-maracanau,2019,5,agua,219.96,233.37,300.43,80.47,0.7909,13.41,67.06,5.001,NAO_DISTINGUIVEL
ascenty-maracanau,2020,1,vegetacao_densa,1520.28,1720.44,702.72,-817.56,-8.1752,200.16,-1017.72,5.085,NAO_DISTINGUIVEL
ascenty-maracanau,2020,2,vegetacao_rala,2394.54,2352.78,2926.95,532.41,5.1981,-41.76,574.17,13.749,NAO_DISTINGUIVEL
ascenty-maracanau,2020,3,solo_exposto_obras,89.91,79.2,906.92,817.01,8.1099,-10.71,827.72,77.285,NAO_DISTINGUIVEL
ascenty-maracanau,2020,4,construida_urbana,5807.88,5677.29,5233.17,-574.71,-5.9228,-130.59,-444.12,3.401,NAO_DISTINGUIVEL
ascenty-maracanau,2020,5,agua,219.96,239.13,300.34,80.38,0.79,19.17,61.21,3.193,NAO_DISTINGUIVEL
