site_id,ano_overlap,classe_id,classe_nome,area_landsat_2018_ha,area_landsat_ano_ha,area_s2_ano_ha,degrau_publicado_ha,degrau_publicado_pp,controle_real_landsat_ha,artefato_sensor_ha,razao_artefato_sobre_controle,veredito
hostdime-joao-pessoa,2021,5,agua,1853.73,1752.75,1992.72,138.99,1.3807,-100.98,239.97,2.376,NAO_DISTINGUIVEL
odata-hortolandia,2019,1,vegetacao_densa,546.21,875.7,860.01,313.8,3.1253,329.49,-15.69,0.048,DISTINGUIVEL
odata-hortolandia,2019,2,vegetacao_rala,4175.19,4155.57,4198.91,23.72,0.2351,-19.62,43.34,2.209,NAO_DISTINGUIVEL
odata-hortolandia,2019,3,solo_exposto_obras,112.41,92.7,1513.77,1401.36,13.9577,-19.71,1421.07,72.099,NAO_DISTINGUIVEL
odata-hortolandia,2019,4,construida_urbana,5158.17,4867.56,3391.51,-1766.66,-17.5975,-290.61,-1476.05,5.079,NAO_DISTINGUIVEL
odata-hortolandia,2019,5,agua,47.79,47.79,75.84,28.05,0.2794,0.0,28.05,,NAO_DISTINGUIVEL
odata-hortolandia,2020,1,vegetacao_densa,546.21,717.03,754.32,208.11,2.0727,170.82,37.29,0.218,DISTINGUIVEL
odata-hortolandia,2020,2,vegetacao_rala,4175.19,4192.56,4140.62,-34.57,-0.3454,17.37,-51.94,2.99,NAO_DISTINGUIVEL
odata-hortolandia,2020,3,solo_exposto_obras,112.41,105.57,1827.59,1715.18,17.0834,-6.84,1722.02,251.757,NAO_DISTINGUIVEL
odata-hortolandia,2020,4,construida_urbana,5158.17,4971.96,3244.39,-1913.78,-19.0629,-186.21,-1727.57,9.278,NAO_DISTINGUIVEL
odata-hortolandia,2020,5,agua,47.79,52.83,73.12,25.33,0.2523,5.04,20.29,4.026,NAO_DISTINGUIVEL
odata-hortolandia,2021,1,vegetacao_densa,546.21,411.75,590.42,44.21,0.4402,-134.46,178.67,1.329,NAO_DISTINGUIVEL
odata-hortolandia,2021,2,vegetacao_rala,4175.19,3796.92,3935.31,-239.88,-2.3904,-378.27,138.39,0.366,DISTINGUIVEL
odata-hortolandia,2021,3,solo_exposto_obras,112.41,100.44,2010.63,1898.22,18.9065,-11.97,1910.19,159.581,NAO_DISTINGUIVEL
odata-hortolandia,2021,4,construida_urbana,5158.17,5686.83,3434.56,-1723.61,-17.1687,528.66,-2252.27,4.26,NAO_DISTINGUIVEL
odata-hortolandia,2021,5,agua,47.79,43.56,69.12,21.33,0.2124,-4.23,25.56,6.043,NAO_DISTINGUIVEL
scala-sgigsm01,2019,1,vegetacao_densa,250.29,185.76,268.0,17.71,0.1758,-64.53,82.24,1.274,NAO_DISTINGUIVEL
scala-sgigsm01,2019,2,vegetacao_rala,792.18,704.7,770.29,-21.89,-0.2177,-87.48,65.59,0.75,NAO_DISTINGUIVEL
scala-sgigsm01,2019,3,solo_exposto_obras,60.84,35.73,1277.49,1216.65,12.0818,-25.11,1241.76,49.453,NAO_DISTINGUIVEL
scala-sgigsm01,2019,4,construida_urbana,8929.98,9083.07,7683.15,-1246.83,-12.3855,153.09,-1399.92,9.144,NAO_DISTINGUIVEL
scala-sgigsm01,2019,5,agua,36.36,49.23,71.17,34.81,0.3457,12.87,21.94,1.705,NAO_DISTINGUIVEL
scala-sgigsm01,2020,1,vegetacao_densa,250.29,293.4,294.73,44.44,0.4412,43.11,1.33,0.031,DISTINGUIVEL
scala-sgigsm01,2020,2,vegetacao_rala,792.18,832.32,763.09,-29.09,-0.2892,40.14,-69.23,1.725,NAO_DISTINGUIVEL
scala-sgigsm01,2020,3,solo_exposto_obras,60.84,28.17,1209.52,1148.68,11.4068,-32.67,1181.35,36.16,NAO_DISTINGUIVEL
scala-sgigsm01,2020,4,construida_urbana,8929.98,8879.58,7725.58,-1204.4,-11.9641,-50.4,-1154.0,22.897,NAO_DISTINGUIVEL
scala-sgigsm01,2020,5,agua,36.36,36.63,77.18,40.82,0.4053,0.27,40.55,150.185,NAO_DISTINGUIVEL
scala-sgigsm01,2021,1,vegetacao_densa,250.29,281.52,258.33,8.04,0.0797,31.23,-23.19,0.743,NAO_DISTINGUIVEL
scala-sgigsm01,2021,2,vegetacao_rala,792.18,745.83,755.41,-36.77,-0.3655,-46.35,9.58,0.207,DISTINGUIVEL
scala-sgigsm01,2021,3,solo_exposto_obras,60.84,26.1,1209.99,1149.15,11.4115,-34.74,1183.89,34.079,NAO_DISTINGUIVEL
scala-sgigsm01,2021,4,construida_urbana,8929.98,8982.54,7776.49,-1153.49,-11.4586,52.56,-1206.05,22.946,NAO_DISTINGUIVEL
scala-sgigsm01,2021,5,agua,36.36,34.11,69.88,33.52,0.3329,-2.25,35.77,15.898,NAO_DISTINGUIVEL
scala-spoapa01,2019,1,vegetacao_densa,1067.22,919.8,934.16,-133.06,-1.3254,-147.42,14.36,0.097,DISTINGUIVEL
scala-spoapa01,2019,2,vegetacao_rala,1832.13,2105.55,1570.3,-261.83,-2.608,273.42,-535.25,1.958,NAO_DISTINGUIVEL
scala-spoapa01,2019,3,solo_exposto_obras,48.24,54.18,1805.96,1757.72,17.5071,5.94,1751.78,294.912,NAO_DISTINGUIVEL
scala-spoapa01,2019,4,construida_urbana,5208.39,4999.59,3682.96,-1525.43,-15.1939,-208.8,-1316.63,6.306,NAO_DISTINGUIVEL
scala-spoapa01,2019,5,agua,1883.97,1910.25,2046.66,162.69,1.6202,26.28,136.41,5.191,NAO_DISTINGUIVEL
scala-spoapa01,2020,1,vegetacao_densa,1067.22,1190.52,1183.19,115.97,1.155,123.3,-7.33,0.059,DISTINGUIVEL
scala-spoapa01,2020,2,vegetacao_rala,1832.13,1542.96,1375.03,-457.1,-4.5529,-289.17,-167.93,0.581,NAO_DISTINGUIVEL
scala-spoapa01,2020,3,solo_exposto_obras,48.24,47.43,1874.14,1825.9,18.1862,-0.81,1826.71,2255.198,NAO_DISTINGUIVEL
scala-spoapa01,2020,4,construida_urbana,5208.39,5273.01,3403.65,-1804.74,-17.9759,64.62,-1869.36,28.929,NAO_DISTINGUIVEL
scala-spoapa01,2020,5,agua,1883.97,1980.18,2204.03,320.06,3.1877,96.21,223.85,2.327,NAO_DISTINGUIVEL
scala-spoapa01,2021,1,vegetacao_densa,1067.22,1538.19,1166.22,99.0,0.986,470.97,-371.97,0.79,NAO_DISTINGUIVEL
scala-spoapa01,2021,2,vegetacao_rala,1832.13,1331.55,1477.17,-354.96,-3.5356,-500.58,145.62,0.291,DISTINGUIVEL
scala-spoapa01,2021,3,solo_exposto_obras,48.24,46.35,1607.7,1559.46,15.5324,-1.89,1561.35,826.111,NAO_DISTINGUIVEL
scala-spoapa01,2021,4,construida_urbana,5208.39,4775.85,3643.86,-1564.53,-15.5834,-432.54,-1131.99,2.617,NAO_DISTINGUIVEL
scala-spoapa01,2021,5,agua,1883.97,1993.86,2145.09,261.12,2.6006,109.89,151.23,1.376,NAO_DISTINGUIVEL
scala-tambore,2019,1,vegetacao_densa,2209.23,2416.86,2564.5,355.27,3.525,207.63,147.64,0.711,NAO_DISTINGUIVEL
scala-tambore,2019,2,vegetacao_rala,1647.63,1584.9,1292.03,-355.6,-3.5334,-62.73,-292.87,4.669,NAO_DISTINGUIVEL
scala-tambore,2019,3,solo_exposto_obras,83.34,79.38,1517.83,1434.49,14.2449,-3.96,1438.45,363.245,NAO_DISTINGUIVEL
scala-tambore,2019,4,construida_urbana,6042.87,5892.48,4425.79,-1617.08,-16.0663,-150.39,-1466.69,9.753,NAO_DISTINGUIVEL
scala-tambore,2019,5,agua,85.68,96.39,269.95,184.27,1.8298,10.71,173.56,16.205,NAO_DISTINGUIVEL
scala-tambore,2020,1,vegetacao_densa,2209.23,2227.59,2382.47,173.24,1.7174,18.36,154.88,8.436,NAO_DISTINGUIVEL
scala-tambore,2020,2,vegetacao_rala,1647.63,1592.28,1327.32,-320.31,-3.183,-55.35,-264.96,4.787,NAO_DISTINGUIVEL
scala-tambore,2020,3,solo_exposto_obras,83.34,103.14,1624.2,1540.86,15.3012,19.8,1521.06,76.821,NAO_DISTINGUIVEL
scala-tambore,2020,4,construida_urbana,6042.87,6013.62,4503.34,-1539.53,-15.2962,-29.25,-1510.28,51.634,NAO_DISTINGUIVEL
scala-tambore,2020,5,agua,85.68,132.12,232.77,147.09,1.4605,46.44,100.65,2.167,NAO_DISTINGUIVEL
scala-tambore,2021,1,vegetacao_densa,2209.23,2098.98,2210.65,1.42,0.0112,-110.25,111.67,1.013,NAO_DISTINGUIVEL
scala-tambore,2021,2,vegetacao_rala,1647.63,1610.1,1364.84,-282.79,-2.8104,-37.53,-245.26,6.535,NAO_DISTINGUIVEL
scala-tambore,2021,3,solo_exposto_obras,83.34,104.58,1821.06,1737.72,17.2561,21.24,1716.48,80.814,NAO_DISTINGUIVEL
scala-tambore,2021,4,construida_urbana,6042.87,6169.05,4445.87,-1597.0,-15.8669,126.18,-1723.18,13.657,NAO_DISTINGUIVEL
scala-tambore,2021,5,agua,85.68,86.22,227.68,142.0,1.41,0.54,141.46,261.963,NAO_DISTINGUIVEL
