site_id,ano,sensor,resolucao_m,classe_id,classe_nome,area_m2,area_ha,pct_area_valida,pixels_validos,fator_correcao_sensor,modelo_versao,gerado_em,tipo,pareado_com,tier,precisao_coordenada,faixa_serie
angonap-fortaleza,2017,landsat,30,5,agua,54515700.0,5451.57,54.4623,111220,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2018,landsat,30,1,vegetacao_densa,10472400.0,1047.24,10.4548,111298,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2018,landsat,30,2,vegetacao_rala,8626500.0,862.65,8.612,111298,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2018,landsat,30,3,solo_exposto_obras,5182200.0,518.22,5.1735,111298,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2018,landsat,30,4,construida_urbana,21321000.0,2132.1,21.2852,111298,0.8112,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
angonap-fortaleza,2018,landsat,30,5,agua,54566100.0,5456.61,54.4745,111298,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2019,landsat,30,1,vegetacao_densa,11955600.0,1195.56,11.9276,111372,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2019,landsat,30,2,vegetacao_rala,8896500.0,889.65,8.8757,111372,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2019,landsat,30,3,solo_exposto_obras,4679100.0,467.91,4.6681,111372,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2019,landsat,30,4,construida_urbana,19926000.0,1992.6,19.8793,111372,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2019,landsat,30,5,agua,54777600.0,5477.76,54.6493,111372,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2019,sentinel2,10,1,vegetacao_densa,9807500.0,980.75,9.7684,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2019,sentinel2,10,2,vegetacao_rala,5419100.0,541.91,5.3975,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2019,sentinel2,10,3,solo_exposto_obras,4407800.0,440.78,4.3902,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2019,sentinel2,10,4,construida_urbana,26430100.0,2643.01,26.3247,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2019,sentinel2,10,5,agua,54335900.0,5433.59,54.1192,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2020,landsat,30,1,vegetacao_densa,11844000.0,1184.4,11.8269,111272,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2020,landsat,30,2,vegetacao_rala,8949600.0,894.96,8.9367,111272,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2020,landsat,30,3,solo_exposto_obras,4679100.0,467.91,4.6723,111272,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2020,landsat,30,4,construida_urbana,20276100.0,2027.61,20.2468,111272,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2020,landsat,30,5,agua,54396000.0,5439.6,54.3173,111272,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2020,sentinel2,10,1,vegetacao_densa,10161900.0,1016.19,10.1214,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2020,sentinel2,10,2,vegetacao_rala,5375300.0,537.53,5.3539,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2020,sentinel2,10,3,solo_exposto_obras,4698200.0,469.82,4.6795,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2020,sentinel2,10,4,construida_urbana,26095200.0,2609.52,25.9911,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
