site_id,pais,tipo,pareado_com,nome,operadora,lat,lon,buffer_km,ano,ano_inicio_obra,fonte_data_obra,ano_relativo_ao_inicio_obra,fase,dist_tratamento_controle_km,instrumento,resolucao_m,pixels_validos,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua,municipio,uf,codigo_ibge,n_predios_no_campus,lst_media_celsius,populacao,populacao_buffer_5km,pib_mil_reais,tier,regiao,bioma,qualidade_par,l1_rf
angonap-fortaleza,BR,tratamento,angonap-fortaleza,,,-3.734736,-38.462636,5,2019,2017,declarada_datacentermap,2,durante,16,rf_v1.0-tuned,30,111372,642.6,1005.84,171.9,2822.76,5380.38,0.064109,0.100348,0.01715,0.281615,0.536778,Fortaleza,CE,2304400,0,31.8484,2669342.0,254256,67401430.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
angonap-fortaleza,BR,tratamento,angonap-fortaleza,,,-3.734736,-38.462636,5,2020,2017,declarada_datacentermap,3,pos,16,rf_v1.0-tuned,30,111272,643.59,1016.73,194.4,2806.11,5353.65,0.064266,0.101526,0.019412,0.280205,0.534591,Fortaleza,CE,2304400,0,31.1894,2686612.0,254256,64821582.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
ctrl-ascenty-hortolandia-p01,BR,controle,ascenty-hortolandia,,,-22.968204,-47.044123,5,2015,2018,declarada_datacentermap,-3,pre,16,rf_v1.0-tuned,30,111556,682.83,4159.62,82.62,5078.43,36.54,0.068011,0.414303,0.008229,0.505818,0.003639,Campinas,SP,3509502,4,29.9083,,166689,57154532.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ctrl-ascenty-hortolandia-p01,BR,controle,ascenty-hortolandia,,,-22.968204,-47.044123,5,2016,2018,declarada_datacentermap,-2,pre,16,rf_v1.0-tuned,30,111419,841.32,4176.09,66.87,4904.73,38.7,0.0839,0.416455,0.006669,0.489118,0.003859,Campinas,SP,3509502,4,30.0845,1173370.0,166689,57778152.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ctrl-ascenty-hortolandia-p01,BR,controle,ascenty-hortolandia,,,-22.968204,-47.044123,5,2017,2018,declarada_datacentermap,-1,pre,16,rf_v1.0-tuned,30,111544,693.9,4100.13,80.82,5131.35,32.76,0.069121,0.408422,0.008051,0.511144,0.003263,Campinas,SP,3509502,4,29.6509,1182429.0,166689,58469540.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ctrl-ascenty-hortolandia-p01,BR,controle,ascenty-hortolandia,,,-22.968204,-47.044123,5,2018,2018,declarada_datacentermap,0,durante,16,rf_v1.0-tuned,30,111309,740.97,4191.75,78.93,4970.7,35.46,0.073965,0.41843,0.007879,0.496186,0.00354,Campinas,SP,3509502,4,29.9334,1194094.0,166689,61388555.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ctrl-ascenty-hortolandia-p01,BR,controle,ascenty-hortolandia,,,-22.968204,-47.044123,5,2019,2018,declarada_datacentermap,1,durante,16,rf_v1.0-tuned,30,111555,1193.58,3985.38,53.37,4769.19,38.43,0.118883,0.396952,0.005316,0.475021,0.003828,Campinas,SP,3509502,4,30.2691,1204073.0,166689,65837258.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ctrl-ascenty-hortolandia-p01,BR,controle,ascenty-hortolandia,,,-22.968204,-47.044123,5,2020,2018,declarada_datacentermap,2,durante,16,rf_v1.0-tuned,30,111552,1251.72,4009.5,50.76,4687.92,39.78,0.124677,0.399365,0.005056,0.466939,0.003962,Campinas,SP,3509502,4,30.7501,1213792.0,166689,65158382.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ctrl-ascenty-hortolandia-p01,BR,controle,ascenty-hortolandia,,,-22.968204,-47.044123,5,2021,2018,declarada_datacentermap,3,durante,16,rf_v1.0-tuned,30,111552,374.76,3963.15,64.26,5604.21,33.3,0.037328,0.394749,0.006401,0.558206,0.003317,Campinas,SP,3509502,4,30.5628,1223237.0,166689,72946910.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ctrl-ascenty-hortolandia-p01,BR,controle,ascenty-hortolandia,,,-22.968204,-47.044123,5,2022,2018,declarada_datacentermap,4,durante,16,rf_v1.0-tuned,30,111556,962.19,3938.58,53.91,5050.35,35.01,0.095835,0.392287,0.00537,0.503021,0.003487,Campinas,SP,3509502,4,29.1673,1139047.0,166689,80646591.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ascenty-hortolandia,BR,tratamento,ascenty-hortolandia,,,-22.896022,-47.179246,5,2015,2018,declarada_datacentermap,-3,pre,16,rf_v1.0-tuned,30,111538,889.65,4168.71,112.68,4833.9,33.48,0.088625,0.415276,0.011225,0.48154,0.003335,Hortolândia,SP,3519071,4,30.8253,,219960,11010484.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ascenty-hortolandia,BR,tratamento,ascenty-hortolandia,,,-22.896022,-47.179246,5,2016,2018,declarada_datacentermap,-2,pre,16,rf_v1.0-tuned,30,111550,621.0,4148.55,117.27,5121.72,30.96,0.061856,0.413223,0.011681,0.510157,0.003084,Hortolândia,SP,3519071,4,31.2258,219039.0,219960,11245733.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ascenty-hortolandia,BR,tratamento,ascenty-hortolandia,,,-22.896022,-47.179246,5,2017,2018,declarada_datacentermap,-1,pre,16,rf_v1.0-tuned,30,111556,597.33,4018.68,119.7,5275.17,29.16,0.059495,0.400265,0.011922,0.525413,0.002904,Hortolândia,SP,3519071,4,30.9936,222186.0,219960,12411319.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ascenty-hortolandia,BR,tratamento,ascenty-hortolandia,,,-22.896022,-47.179246,5,2018,2018,declarada_datacentermap,0,durante,16,rf_v1.0-tuned,30,111553,607.05,4085.64,116.28,5202.18,28.62,0.060465,0.406946,0.011582,0.518157,0.002851,Hortolândia,SP,3519071,4,31.3497,227353.0,219960,13154947.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ascenty-hortolandia,BR,tratamento,ascenty-hortolandia,,,-22.896022,-47.179246,5,2019,2018,declarada_datacentermap,1,durante,16,rf_v1.0-tuned,30,111548,945.18,4124.52,94.32,4846.95,28.35,0.094148,0.410837,0.009395,0.482797,0.002824,Hortolândia,SP,3519071,4,31.6212,230851.0,219960,14738378.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ascenty-hortolandia,BR,tratamento,ascenty-hortolandia,,,-22.896022,-47.179246,5,2020,2018,declarada_datacentermap,2,durante,16,rf_v1.0-tuned,30,111555,765.0,4093.65,109.98,5040.81,30.51,0.076196,0.407736,0.010954,0.502075,0.003039,Hortolândia,SP,3519071,4,32.0994,234259.0,219960,16386639.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ascenty-hortolandia,BR,tratamento,ascenty-hortolandia,,,-22.896022,-47.179246,5,2021,2018,declarada_datacentermap,3,durante,16,rf_v1.0-tuned,30,111550,431.64,3735.0,113.22,5735.79,23.85,0.042994,0.37203,0.011277,0.571322,0.002376,Hortolândia,SP,3519071,4,32.0817,237570.0,219960,18377822.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ascenty-hortolandia,BR,tratamento,ascenty-hortolandia,,,-22.896022,-47.179246,5,2022,2018,declarada_datacentermap,4,durante,16,rf_v1.0-tuned,30,111556,485.1,3855.78,101.61,5568.12,29.43,0.048317,0.38404,0.01012,0.554591,0.002931,Hortolândia,SP,3519071,4,30.4105,236641.0,219960,21420797.0,1.0,Sudeste,Mata Atlântica,bom,0.036282
ctrl-ascenty-jundiai-p01,BR,controle,ascenty-jundiai,,,-23.24767,-46.74807,5,2016,2019,declarada_datacentermap,-3,pre,24,rf_v1.0-tuned,30,112225,3083.04,4340.88,24.21,2634.3,17.82,0.305244,0.429779,0.002397,0.260815,0.001764,Campo Limpo Paulista,SP,3509601,1,26.5402,81693.0,177684,1764249.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
