site_id,tipo,pareado_com,ids_datacenter,n_predios_no_campus,municipio,uf,codigo_ibge,lat,lon,buffer_km,ano,ano_inicio_obra,ano_fim_obra,ano_relativo_ao_inicio_obra,fase,l1_rf,qualidade_par,dist_tratamento_controle_km,municipio_compartilhado_com_par,sensor,resolucao_m,pixels_validos,modelo_versao,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,regiao,bioma,tier,mw_construido_total,whitespace_construido_sqm_total,tier_projetado_max,n_predios_datacentermap
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2019,2017,2019,2,durante,0.157896,aceitavel,16,False,landsat,30,111372,rf_v1.0-tuned,642.6,1005.84,171.9,2822.76,5380.38,0.064109,0.100348,0.01715,0.281615,0.536778,31.8484,31.9835,1.61,42,2669342.0,estimativa_intercensitaria,763558.0,849116.0,60618.0,67401430.0,Nordeste,Caatinga,1.0,,,,
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2020,2017,2019,3,pos,0.157896,aceitavel,16,False,landsat,30,111272,rf_v1.0-tuned,643.59,1016.73,194.4,2806.11,5353.65,0.064266,0.101526,0.019412,0.280205,0.534591,31.1894,31.2461,1.9386,46,2686612.0,estimativa_intercensitaria,729661.0,818765.0,62532.0,64821582.0,Nordeste,Caatinga,1.0,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2015,2018,2022,-3,pre,0.036282,bom,16,False,landsat,30,111556,rf_v1.0-tuned,682.83,4159.62,82.62,5078.43,36.54,0.068011,0.414303,0.008229,0.505818,0.003639,29.9083,30.4509,4.2917,43,,,414177.0,476759.0,47707.0,57154532.0,,,,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2016,2018,2022,-2,pre,0.036282,bom,16,False,landsat,30,111419,rf_v1.0-tuned,841.32,4176.09,66.87,4904.73,38.7,0.0839,0.416455,0.006669,0.489118,0.003859,30.0845,31.3169,4.415,43,1173370.0,estimativa_intercensitaria,400781.0,462579.0,47742.0,57778152.0,,,,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2017,2018,2022,-1,pre,0.036282,bom,16,False,landsat,30,111544,rf_v1.0-tuned,693.9,4100.13,80.82,5131.35,32.76,0.069121,0.408422,0.008051,0.511144,0.003263,29.6509,30.6616,4.4472,43,1182429.0,estimativa_intercensitaria,401356.0,462058.0,46483.0,58469540.0,,,,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2018,2018,2022,0,durante,0.036282,bom,16,False,landsat,30,111309,rf_v1.0-tuned,740.97,4191.75,78.93,4970.7,35.46,0.073965,0.41843,0.007879,0.496186,0.00354,29.9334,30.3211,3.6511,43,1194094.0,estimativa_intercensitaria,401348.0,461871.0,46943.0,61388555.0,,,,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2019,2018,2022,1,durante,0.036282,bom,16,False,landsat,30,111555,rf_v1.0-tuned,1193.58,3985.38,53.37,4769.19,38.43,0.118883,0.396952,0.005316,0.475021,0.003828,30.2691,30.3181,4.6433,44,1204073.0,estimativa_intercensitaria,400552.0,464714.0,51008.0,65837258.0,,,,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2020,2018,2022,2,durante,0.036282,bom,16,False,landsat,30,111552,rf_v1.0-tuned,1251.72,4009.5,50.76,4687.92,39.78,0.124677,0.399365,0.005056,0.466939,0.003962,30.7501,30.7938,4.2015,46,1213792.0,estimativa_intercensitaria,385683.0,452658.0,53005.0,65158382.0,,,,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2021,2018,2022,3,durante,0.036282,bom,16,False,landsat,30,111552,rf_v1.0-tuned,374.76,3963.15,64.26,5604.21,33.3,0.037328,0.394749,0.006401,0.558206,0.003317,30.5628,31.9336,4.6096,46,1223237.0,estimativa_intercensitaria,404030.0,474810.0,56149.0,72946910.0,,,,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2022,2018,2022,4,durante,0.036282,bom,16,False,landsat,30,111556,rf_v1.0-tuned,962.19,3938.58,53.91,5050.35,35.01,0.095835,0.392287,0.00537,0.503021,0.003487,29.1673,29.3982,4.1804,43,1139047.0,censo,420374.0,532090.0,82954.0,80646591.0,,,,,,,
