variavel,n_pares,media,mediana,ic95_baixo,ic95_alto,cohen_d,magnitude,p_valor,p_valor_fdr,significativo_fdr,direcao
prop_construida_urbana,31,0.005346903225806451,0.0033289999999999947,0.0007100341397849463,0.010018559946236566,0.394001420698119,pequena,0.03525,0.1912,False,aumenta
populacao,30,20118.772222222222,0.0,1433.6327777777783,46023.62027777775,0.30886839921865367,pequena,0.0478,0.1912,False,aumenta
lst_media_celsius,31,-0.13098924731182754,-0.05433333333333342,-0.29196032258064464,0.01750650537634469,-0.29374753114421376,pequena,0.1091,0.2909333333333333,False,diminui
prop_vegetacao_rala,31,-0.00439436559139785,-0.0045909999999999744,-0.010401612096774189,0.0016856583333333273,-0.2476296851218396,pequena,0.177,0.354,False,diminui
prop_agua,31,0.0007308064516129009,5.9666666666665626e-05,-0.0010176712365591403,0.002807998118279562,0.13264042082768873,desprezível,0.51105,0.7522321428571429,False,aumenta
prop_solo_exposto_obras,31,-0.0009578172043010738,9.366666666666663e-05,-0.004837917204301072,0.002112708870967742,-0.09487218965374,desprezível,0.6562,0.7522321428571429,False,diminui
pib_mil_reais,15,1759388.811111111,1265513.6666666667,-5099794.423333333,7163106.083888889,0.13835800551964242,desprezível,0.658203125,0.7522321428571429,False,aumenta
prop_vegetacao_densa,31,-0.0007252258064516051,8.066666666676585e-05,-0.006717503494623643,0.005640923387096774,-0.04068718655550656,desprezível,0.81855,0.81855,False,diminui
