aoi_id;operadora;cidade;latitude_aoi;longitude_aoi;latitude_municipio;longitude_municipio;distancia_km;inclinacao_graus;similar_rank;id_municipio_similar;municipio_similar;latitude_similar;longitude_similar;ponto_num;ponto_inclinacao_graus;ponto_latitude;ponto_longitude;candidato_id
ascenty-data-centers-hortolandia;Ascenty Data Centers;Hortolândia;-22.894982075;-47.1795598;-22.858395;-47.221097;5.89;133.72;2;3554102;Taubaté (SP);-23.025063;-45.555221;5;240.0;-23.05154;-45.605075;ascenty-data-centers-hortolandia_sim2_p5
ascenty-data-centers-hortolandia;Ascenty Data Centers;Hortolândia;-22.894982075;-47.1795598;-22.858395;-47.221097;5.89;133.72;2;3554102;Taubaté (SP);-23.025063;-45.555221;6;300.0;-22.99857;-45.605056;ascenty-data-centers-hortolandia_sim2_p6
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;1;3508405;Cabreúva (SP);-23.306157;-47.132732;1;0.0;-23.224139;-47.132732;ascenty-data-centers-jundiai_sim1_p1
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;1;3508405;Cabreúva (SP);-23.306157;-47.132732;2;60.0;-23.265129;-47.055415;ascenty-data-centers-jundiai_sim1_p2
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;1;3508405;Cabreúva (SP);-23.306157;-47.132732;3;120.0;-23.347147;-47.055368;ascenty-data-centers-jundiai_sim1_p3
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;1;3508405;Cabreúva (SP);-23.306157;-47.132732;4;180.0;-23.388175;-47.132732;ascenty-data-centers-jundiai_sim1_p4
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;1;3508405;Cabreúva (SP);-23.306157;-47.132732;5;240.0;-23.347147;-47.210096;ascenty-data-centers-jundiai_sim1_p5
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;1;3508405;Cabreúva (SP);-23.306157;-47.132732;6;300.0;-23.265129;-47.210049;ascenty-data-centers-jundiai_sim1_p6
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;2;3548807;São Caetano do Sul (SP);-23.6217;-46.551062;1;0.0;-23.539682;-46.551062;ascenty-data-centers-jundiai_sim2_p1
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;2;3548807;São Caetano do Sul (SP);-23.6217;-46.551062;2;60.0;-23.580672;-46.473561;ascenty-data-centers-jundiai_sim2_p2
