destino;site_id;ano;sensor;prop_vegetacao_densa;prop_vegetacao_rala;prop_solo_exposto_obras;prop_construida_urbana;prop_agua;pct_pixels_validos
tratamento;scala-data-centers-porto-alegre;2020;landsat;0.126511;0.15291;0.004207;0.519653;0.196719;99.9355
tratamento;scala-data-centers-porto-alegre;2021;landsat;0.167878;0.13583;0.003936;0.486038;0.206317;94.9604
tratamento;scala-data-centers-porto-alegre;2022;landsat;0.106993;0.189719;0.002429;0.518176;0.182682;99.9937
tratamento;scala-data-centers-sao-joao-de-meriti;2019;landsat;0.029626;0.082493;0.003914;0.879964;0.004003;99.7927
tratamento;scala-data-centers-sao-joao-de-meriti;2020;landsat;0.040301;0.090478;0.002699;0.862545;0.003977;99.9946
tratamento;scala-data-centers-sao-joao-de-meriti;2021;landsat;0.029511;0.07872;0.002538;0.885781;0.00345;100.0
tratamento;to-host-data-centers-palmas;2017;landsat;0.051828;0.261346;0.024917;0.320645;0.341264;100.0
tratamento;to-host-data-centers-palmas;2018;landsat;0.095155;0.235454;0.015831;0.31666;0.3369;99.3056
tratamento;to-host-data-centers-palmas;2019;landsat;0.042738;0.273367;0.012325;0.330101;0.341469;100.0
candidato;asap-telecom-sao-paulo_sim1_p1;2016;landsat;0.286692;0.269753;0.002664;0.198753;0.242139;100.0
candidato;asap-telecom-sao-paulo_sim1_p1;2017;landsat;0.344843;0.234297;0.001025;0.179942;0.239893;100.0
candidato;asap-telecom-sao-paulo_sim1_p1;2018;landsat;0.362005;0.226634;0.001239;0.169588;0.240535;100.0
candidato;asap-telecom-sao-paulo_sim1_p2;2016;landsat;0.115826;0.088883;0.001847;0.293637;0.499807;99.9758
candidato;asap-telecom-sao-paulo_sim1_p2;2017;landsat;0.128376;0.101439;0.000753;0.271005;0.498427;99.9991
candidato;asap-telecom-sao-paulo_sim1_p2;2018;landsat;0.132454;0.107686;0.000699;0.261044;0.498118;100.0
candidato;asap-telecom-sao-paulo_sim1_p3;2016;landsat;0.174176;0.089947;0.0025;0.15854;0.574837;99.4021
candidato;asap-telecom-sao-paulo_sim1_p3;2017;landsat;0.194897;0.091322;0.003972;0.140933;0.568876;98.326
candidato;asap-telecom-sao-paulo_sim1_p3;2018;landsat;0.191841;0.098257;0.003683;0.133126;0.573092;99.2448
candidato;asap-telecom-sao-paulo_sim1_p4;2016;landsat;0.016331;0.012105;0.000936;0.017934;0.952694;96.1399
candidato;asap-telecom-sao-paulo_sim1_p4;2017;landsat;0.018169;0.01317;0.001278;0.016569;0.950815;94.1154
candidato;asap-telecom-sao-paulo_sim1_p4;2018;landsat;0.020661;0.013036;0.001235;0.016049;0.94902;90.225
candidato;asap-telecom-sao-paulo_sim1_p5;2016;landsat;0.177352;0.211605;0.004939;0.540322;0.065781;99.9964
candidato;asap-telecom-sao-paulo_sim1_p5;2017;landsat;0.256185;0.174146;0.003155;0.501085;0.065429;100.0
candidato;asap-telecom-sao-paulo_sim1_p5;2018;landsat;0.268394;0.182733;0.002546;0.482054;0.064273;100.0
candidato;asap-telecom-sao-paulo_sim1_p6;2016;landsat;0.02086;0.090428;0.00168;0.885039;0.001993;100.0
candidato;asap-telecom-sao-paulo_sim1_p6;2017;landsat;0.030741;0.088746;0.005149;0.873773;0.001591;99.9821
candidato;asap-telecom-sao-paulo_sim1_p6;2018;landsat;0.031085;0.093051;0.005497;0.868401;0.001966;99.9955
candidato;asap-telecom-sao-paulo_sim2_p1;2016;landsat;0.145344;0.603544;0.018887;0.225053;0.007171;100.0
candidato;asap-telecom-sao-paulo_sim2_p1;2017;landsat;0.145505;0.590394;0.016575;0.240946;0.00658;100.0
candidato;asap-telecom-sao-paulo_sim2_p1;2018;landsat;0.165361;0.608277;0.012263;0.207322;0.006777;100.0
