id_municipio,nome_municipio,sigla_uf,regiao,populacao,pib_per_capita,pct_va_servicos,pct_va_industria,pct_va_agropecuaria,pct_impostos,id_municipio_similar_1,municipio_similar_1,percentual_similaridade_1,id_municipio_similar_2,municipio_similar_2,percentual_similaridade_2,id_municipio_similar_3,municipio_similar_3,percentual_similaridade_3
3512803,Cosmópolis,SP,Sudeste,71405.33333333333,24493.696666666667,0.4025,0.32311666666666666,0.013366666666666666,0.10381666666666667,3145208,Nova Serrana (MG),86.69,3501707,Américo Brasiliense (SP),84.03,3140704,Mateus Leme (MG),83.1
3512902,Cosmorama,SP,Sudeste,7327.5,46938.385,0.30083333333333334,0.2547833333333333,0.20820000000000002,0.12565,3171006,Vazante (MG),71.79,3535705,Paraíso (SP),67.74,3157708,Santa Juliana (MG),67.03
3513009,Cotia,SP,Sudeste,246140.0,53139.35166666666,0.4835333333333333,0.22996666666666665,0.0018000000000000002,0.20709999999999998,3523909,Itu (SP),76.42,3552403,Sumaré (SP),72.06,3170701,Varginha (MG),71.67
3513108,Cravinhos,SP,Sudeste,35127.0,36323.611666666664,0.4485666666666666,0.24398333333333333,0.04883333333333333,0.14295,3147105,Pará de Minas (MG),87.26,3169307,Três Corações (MG),82.27,3524105,Ituverava (SP),78.88
3513207,Cristais Paulista,SP,Sudeste,8576.666666666666,27226.944999999996,0.35938333333333333,0.06515,0.3685833333333333,0.04005,3550209,São Miguel Arcanjo (SP),89.39,3544608,Sabino (SP),86.83,3528304,Magda (SP),86.25
3513306,Cruzália,SP,Sudeste,2097.6666666666665,55675.09333333333,0.5565166666666667,0.03746666666666667,0.17345,0.10548333333333333,3119807,Córrego Danta (MG),73.42,3516101,Florínia (SP),72.03,3537156,Pedrinhas Paulista (SP),72.01
3513405,Cruzeiro,SP,Sudeste,82121.5,30271.16,0.4529666666666667,0.28223333333333334,0.0034333333333333334,0.133,3509601,Campo Limpo Paulista (SP),87.76,3137205,Lagoa da Prata (MG),86.49,3537107,Pedreira (SP),84.86
3513504,Cubatão,SP,Sudeste,130207.83333333333,116651.83333333333,0.29318333333333335,0.5244,0.0001,0.12763333333333335,3521101,Ipeúna (SP),68.27,3144805,Nova Lima (MG),58.46,3527603,Luís Antônio (SP),53.88
3513603,Cunha,SP,Sudeste,21659.0,12434.775,0.4737166666666666,0.05538333333333333,0.11068333333333334,0.03835,3535101,Palmares Paulista (SP),83.35,3545001,Salesópolis (SP),83.09,3130903,Inhapim (MG),78.79
3513702,Descalvado,SP,Sudeste,33626.0,51031.78333333333,0.40368333333333334,0.28731666666666666,0.07526666666666666,0.14773333333333333,3536703,Pederneiras (SP),81.15,3511508,Cerquilho (SP),74.92,3510401,Capivari (SP),72.81
3513801,Diadema,SP,Sudeste,422362.3333333333,35701.026666666665,0.4426666666666667,0.2717333333333333,0.0001,0.17518333333333333,3554102,Taubaté (SP),66.48,3526902,Limeira (SP),66.35,3525003,Jandira (SP),63.31
3513850,Dirce Reis,SP,Sudeste,1791.1666666666667,32978.66333333334,0.27476666666666666,0.28286666666666666,0.1326166666666667,0.08896666666666668,3116407,Claraval (MG),79.13,3533205,Nova Independência (SP),78.68,3557303,Estiva Gerbi (SP),78.1
3513900,Divinolândia,SP,Sudeste,11214.666666666666,29687.878333333338,0.5471166666666666,0.04416666666666667,0.22045,0.04546666666666666,3545605,Santa Adélia (SP),77.42,3516903,General Salgado (SP),71.12,3554953,Tuiuti (SP),70.16
3514007,Dobrada,SP,Sudeste,8881.0,13661.668333333335,0.32415,0.11966666666666666,0.1852,0.0773,3164001,São Pedro dos Ferros (MG),90.28,3130606,Inconfidentes (MG),86.77,3165008,São Tiago (MG),86.63
3514106,Dois Córregos,SP,Sudeste,27206.666666666668,26149.653333333335,0.4297333333333333,0.17584999999999998,0.14638333333333334,0.09701666666666668,3532504,Neves Paulista (SP),92.29,3139003,Machado (MG),84.81,3509403,Cajuru (SP),81.34
3514205,Dolcinópolis,SP,Sudeste,2121.5,23123.486666666668,0.34390000000000004,0.05645,0.29750000000000004,0.029333333333333333,3544509,Rubinéia (SP),89.92,3541109,Presidente Alves (SP),87.15,3555505,Ubirajara (SP),86.98
3514304,Dourado,SP,Sudeste,8885.666666666666,66377.01666666666,0.3821333333333334,0.2734166666666667,0.045083333333333336,0.22951666666666667,3304201,Resende (RJ),64.51,3520509,Indaiatuba (SP),59.73,3540606,Porto Feliz (SP),58.16
3514403,Dracena,SP,Sudeste,46678.5,27092.593333333334,0.6286833333333334,0.11535,0.03755,0.079,3515509,Fernandópolis (SP),86.15,3524808,Jales (SP),82.92,3500105,Adamantina (SP),81.72
3514502,Duartina,SP,Sudeste,12477.166666666666,19426.210000000003,0.5370166666666667,0.12621666666666667,0.06296666666666666,0.05371666666666666,3504206,Auriflama (SP),88.39,3541307,Presidente Epitácio (SP),85.81,3113305,Carangola (MG),83.22
