nome_datacenter;latitude_datacenter;longitude_datacenter;latitude_municipio;longitude_municipio;latitude_similar;longitude_similar;distancia_km;inclinacao_graus;ponto_num;ponto_inclinacao_graus;ponto_latitude;ponto_longitude
Ascenty- Rio de Janeiro RJ2;-22.8050847;-43.3484313;-22.876652;-43.227875;-19.815779;-43.95631;14.7;302.76;4;180.0;-19.947979;-43.95631
Ascenty- Rio de Janeiro RJ2;-22.8050847;-43.3484313;-22.876652;-43.227875;-19.815779;-43.95631;14.7;302.76;5;240.0;-19.881838;-44.078055
Ascenty- Rio de Janeiro RJ2;-22.8050847;-43.3484313;-22.876652;-43.227875;-19.815779;-43.95631;14.7;302.76;6;300.0;-19.749638;-44.077954
Ascenty - Sao Paulo SP3;-23.491232;-46.7759313;-23.531148;-46.791619;-23.185054;-46.884119;4.72;19.82;1;0.0;-23.142606;-46.884119
Ascenty - Sao Paulo SP3;-23.491232;-46.7759313;-23.531148;-46.791619;-23.185054;-46.884119;4.72;19.82;2;60.0;-23.163825;-46.844135
Ascenty - Sao Paulo SP3;-23.491232;-46.7759313;-23.531148;-46.791619;-23.185054;-46.884119;4.72;19.82;3;120.0;-23.206273;-46.844122
Ascenty - Sao Paulo SP3;-23.491232;-46.7759313;-23.531148;-46.791619;-23.185054;-46.884119;4.72;19.82;4;180.0;-23.227502;-46.884119
Ascenty - Sao Paulo SP3;-23.491232;-46.7759313;-23.531148;-46.791619;-23.185054;-46.884119;4.72;19.82;5;240.0;-23.206273;-46.924116
Ascenty - Sao Paulo SP3;-23.491232;-46.7759313;-23.531148;-46.791619;-23.185054;-46.884119;4.72;19.82;6;300.0;-23.163825;-46.924103
CWB-HN 01;-25.44583383579607;-49.26575676773692;-25.426337;-49.273028;-30.03143;-51.229989;2.29;161.39;1;0.0;-30.010836;-51.229989
CWB-HN 01;-25.44583383579607;-49.26575676773692;-25.426337;-49.273028;-30.03143;-51.229989;2.29;161.39;2;60.0;-30.021131;-51.20939
CWB-HN 01;-25.44583383579607;-49.26575676773692;-25.426337;-49.273028;-30.03143;-51.229989;2.29;161.39;3;120.0;-30.041726;-51.209386
CWB-HN 01;-25.44583383579607;-49.26575676773692;-25.426337;-49.273028;-30.03143;-51.229989;2.29;161.39;4;180.0;-30.052024;-51.229989
CWB-HN 01;-25.44583383579607;-49.26575676773692;-25.426337;-49.273028;-30.03143;-51.229989;2.29;161.39;5;240.0;-30.041726;-51.250592
CWB-HN 01;-25.44583383579607;-49.26575676773692;-25.426337;-49.273028;-30.03143;-51.229989;2.29;161.39;6;300.0;-30.021131;-51.250588
Equinix SP5x;-23.46393786425595;-46.8626817427955;-23.442819;-46.917731;-22.228711;-45.936332;6.09;112.7;1;0.0;-22.173942;-45.936332
Equinix SP5x;-23.46393786425595;-46.8626817427955;-23.442819;-46.917731;-22.228711;-45.936332;6.09;112.7;2;60.0;-22.201319;-45.885103
Equinix SP5x;-23.46393786425595;-46.8626817427955;-23.442819;-46.917731;-22.228711;-45.936332;6.09;112.7;3;120.0;-22.256087;-45.885083
Equinix SP5x;-23.46393786425595;-46.8626817427955;-23.442819;-46.917731;-22.228711;-45.936332;6.09;112.7;4;180.0;-22.28348;-45.936332
Equinix SP5x;-23.46393786425595;-46.8626817427955;-23.442819;-46.917731;-22.228711;-45.936332;6.09;112.7;5;240.0;-22.256087;-45.987581
Equinix SP5x;-23.46393786425595;-46.8626817427955;-23.442819;-46.917731;-22.228711;-45.936332;6.09;112.7;6;300.0;-22.201319;-45.987561
IDX Data Centers & IT Services;-10.1875328;-48.340776;-10.166032;-48.333276;-9.97411;-67.810139;2.53;198.95;1;0.0;-9.951357;-67.810139
IDX Data Centers & IT Services;-10.1875328;-48.340776;-10.166032;-48.333276;-9.97411;-67.810139;2.53;198.95;2;60.0;-9.962733;-67.790133
IDX Data Centers & IT Services;-10.1875328;-48.340776;-10.166032;-48.333276;-9.97411;-67.810139;2.53;198.95;3;120.0;-9.985486;-67.790131
IDX Data Centers & IT Services;-10.1875328;-48.340776;-10.166032;-48.333276;-9.97411;-67.810139;2.53;198.95;4;180.0;-9.996863;-67.810139
IDX Data Centers & IT Services;-10.1875328;-48.340776;-10.166032;-48.333276;-9.97411;-67.810139;2.53;198.95;5;240.0;-9.985486;-67.830147
IDX Data Centers & IT Services;-10.1875328;-48.340776;-10.166032;-48.333276;-9.97411;-67.810139;2.53;198.95;6;300.0;-9.962733;-67.830145
IDX Data Centers & IT Services;-10.1875328;-48.340776;-26.482678;-51.990545;-23.287161;-52.603543;1852.08;12.63;1;0.0;-6.631005;-52.603543
IDX Data Centers & IT Services;-10.1875328;-48.340776;-26.482678;-51.990545;-23.287161;-52.603543;1852.08;12.63;2;60.0;-14.306762;-37.760534
IDX Data Centers & IT Services;-10.1875328;-48.340776;-26.482678;-51.990545;-23.287161;-52.603543;1852.08;12.63;3;120.0;-30.689861;-35.826097
IDX Data Centers & IT Services;-10.1875328;-48.340776;-26.482678;-51.990545;-23.287161;-52.603543;1852.08;12.63;4;180.0;-39.943317;-52.603543
IDX Data Centers & IT Services;-10.1875328;-48.340776;-26.482678;-51.990545;-23.287161;-52.603543;1852.08;12.63;5;240.0;-30.689861;-69.380989
IDX Data Centers & IT Services;-10.1875328;-48.340776;-26.482678;-51.990545;-23.287161;-52.603543;1852.08;12.63;6;300.0;-14.306762;-67.446552
IPXON Fortaleza;-3.8308368;-38.6112238;-3.716992;-38.542889;-12.97033;-38.510686;14.76;210.92;1;0.0;-12.83759;-38.510686
IPXON Fortaleza;-3.8308368;-38.6112238;-3.716992;-38.542889;-12.97033;-38.510686;14.76;210.92;2;60.0;-12.903934;-38.392752
IPXON Fortaleza;-3.8308368;-38.6112238;-3.716992;-38.542889;-12.97033;-38.510686;14.76;210.92;3;120.0;-13.036673;-38.392689
IPXON Fortaleza;-3.8308368;-38.6112238;-3.716992;-38.542889;-12.97033;-38.510686;14.76;210.92;4;180.0;-13.10307;-38.510686
IPXON Fortaleza;-3.8308368;-38.6112238;-3.716992;-38.542889;-12.97033;-38.510686;14.76;210.92;5;240.0;-13.036673;-38.628683
IPXON Fortaleza;-3.8308368;-38.6112238;-3.716992;-38.542889;-12.97033;-38.510686;14.76;210.92;6;300.0;-12.903934;-38.62862
IPXON Rio de Janeiro;-22.8059797;-43.3480982;-22.876652;-43.227875;-19.815779;-43.95631;14.61;302.51;1;0.0;-19.684388;-43.95631
IPXON Rio de Janeiro;-22.8059797;-43.3480982;-22.876652;-43.227875;-19.815779;-43.95631;14.61;302.51;2;60.0;-19.750043;-43.83541
IPXON Rio de Janeiro;-22.8059797;-43.3480982;-22.876652;-43.227875;-19.815779;-43.95631;14.61;302.51;3;120.0;-19.881434;-43.83531
IPXON Rio de Janeiro;-22.8059797;-43.3480982;-22.876652;-43.227875;-19.815779;-43.95631;14.61;302.51;4;180.0;-19.94717;-43.95631
IPXON Rio de Janeiro;-22.8059797;-43.3480982;-22.876652;-43.227875;-19.815779;-43.95631;14.61;302.51;5;240.0;-19.881434;-44.07731
IPXON Rio de Janeiro;-22.8059797;-43.3480982;-22.876652;-43.227875;-19.815779;-43.95631;14.61;302.51;6;300.0;-19.750043;-44.07721
IPXON Sao Paulo;-23.4920457;-46.7760135;-23.531148;-46.791619;-23.185054;-46.884119;4.63;20.1;1;0.0;-23.143415;-46.884119
IPXON Sao Paulo;-23.4920457;-46.7760135;-23.531148;-46.791619;-23.185054;-46.884119;4.63;20.1;2;60.0;-23.16423;-46.844897
IPXON Sao Paulo;-23.4920457;-46.7760135;-23.531148;-46.791619;-23.185054;-46.884119;4.63;20.1;3;120.0;-23.205868;-46.844885
IPXON Sao Paulo;-23.4920457;-46.7760135;-23.531148;-46.791619;-23.185054;-46.884119;4.63;20.1;4;180.0;-23.226693;-46.884119
IPXON Sao Paulo;-23.4920457;-46.7760135;-23.531148;-46.791619;-23.185054;-46.884119;4.63;20.1;5;240.0;-23.205868;-46.923353
