ano,mes,uf,nome_uf,regiao,tipo_consumo,consumo,numero_consumidores
2005,2,DF,Distrito Federal,Centro-Oeste,Comercial,95008,77787
2005,2,DF,Distrito Federal,Centro-Oeste,Industrial,31382,1680
2005,2,DF,Distrito Federal,Centro-Oeste,Outros,75639,12477
2005,2,DF,Distrito Federal,Centro-Oeste,Residencial,121621,609020
2005,2,DF,Distrito Federal,Centro-Oeste,Total,323650,
2005,3,DF,Distrito Federal,Centro-Oeste,Cativo,302144,
2005,3,DF,Distrito Federal,Centro-Oeste,Comercial,91502,77931
2005,3,DF,Distrito Federal,Centro-Oeste,Industrial,35971,1699
2005,3,DF,Distrito Federal,Centro-Oeste,Outros,82044,12563
2005,3,DF,Distrito Federal,Centro-Oeste,Residencial,118193,611522
2005,3,DF,Distrito Federal,Centro-Oeste,Total,327710,
2005,4,DF,Distrito Federal,Centro-Oeste,Cativo,314117,
2005,4,DF,Distrito Federal,Centro-Oeste,Comercial,99922,77963
2005,4,DF,Distrito Federal,Centro-Oeste,Industrial,32703,1692
2005,4,DF,Distrito Federal,Centro-Oeste,Outros,82753,12649
2005,4,DF,Distrito Federal,Centro-Oeste,Residencial,120602,613092
2005,4,DF,Distrito Federal,Centro-Oeste,Total,335980,
2005,5,DF,Distrito Federal,Centro-Oeste,Cativo,297632,
2005,5,DF,Distrito Federal,Centro-Oeste,Comercial,92367,78094
2005,5,DF,Distrito Federal,Centro-Oeste,Industrial,35916,1685
2005,5,DF,Distrito Federal,Centro-Oeste,Outros,79389,12678
2005,5,DF,Distrito Federal,Centro-Oeste,Residencial,115384,614982
2005,5,DF,Distrito Federal,Centro-Oeste,Total,323056,
2005,6,DF,Distrito Federal,Centro-Oeste,Cativo,312538,
2005,6,DF,Distrito Federal,Centro-Oeste,Comercial,94960,78154
2005,6,DF,Distrito Federal,Centro-Oeste,Industrial,36846,1675
2005,6,DF,Distrito Federal,Centro-Oeste,Outros,81666,12720
2005,6,DF,Distrito Federal,Centro-Oeste,Residencial,125144,615948
2005,6,DF,Distrito Federal,Centro-Oeste,Total,338616,
2005,7,DF,Distrito Federal,Centro-Oeste,Cativo,313914,
2005,7,DF,Distrito Federal,Centro-Oeste,Comercial,93645,78672
2005,7,DF,Distrito Federal,Centro-Oeste,Industrial,39039,1696
2005,7,DF,Distrito Federal,Centro-Oeste,Outros,81747,12739
2005,7,DF,Distrito Federal,Centro-Oeste,Residencial,127848,621859
2005,7,DF,Distrito Federal,Centro-Oeste,Total,342279,
2005,8,DF,Distrito Federal,Centro-Oeste,Cativo,315338,
2005,8,DF,Distrito Federal,Centro-Oeste,Comercial,93325,78059
2005,8,DF,Distrito Federal,Centro-Oeste,Industrial,36773,1677
2005,8,DF,Distrito Federal,Centro-Oeste,Outros,81224,12767
2005,8,DF,Distrito Federal,Centro-Oeste,Residencial,129885,618299
2005,8,DF,Distrito Federal,Centro-Oeste,Total,341207,
2005,9,DF,Distrito Federal,Centro-Oeste,Cativo,327604,
2005,9,DF,Distrito Federal,Centro-Oeste,Comercial,98905,78175
2005,9,DF,Distrito Federal,Centro-Oeste,Industrial,37499,1658
2005,9,DF,Distrito Federal,Centro-Oeste,Outros,87994,12776
2005,9,DF,Distrito Federal,Centro-Oeste,Residencial,129209,621401
2005,9,DF,Distrito Federal,Centro-Oeste,Total,353607,
2005,10,DF,Distrito Federal,Centro-Oeste,Cativo,342161,
2005,10,DF,Distrito Federal,Centro-Oeste,Comercial,107425,78760
2005,10,DF,Distrito Federal,Centro-Oeste,Industrial,37576,1663
2005,10,DF,Distrito Federal,Centro-Oeste,Outros,89783,12893
2005,10,DF,Distrito Federal,Centro-Oeste,Residencial,133259,627831
2005,10,DF,Distrito Federal,Centro-Oeste,Total,368043,
2005,11,DF,Distrito Federal,Centro-Oeste,Cativo,336779,
2005,11,DF,Distrito Federal,Centro-Oeste,Comercial,107667,78891
2005,11,DF,Distrito Federal,Centro-Oeste,Industrial,36633,1645
2005,11,DF,Distrito Federal,Centro-Oeste,Outros,85808,12877
2005,11,DF,Distrito Federal,Centro-Oeste,Residencial,131726,629907
2005,11,DF,Distrito Federal,Centro-Oeste,Total,361834,
2005,12,DF,Distrito Federal,Centro-Oeste,Cativo,326700,
2005,12,DF,Distrito Federal,Centro-Oeste,Comercial,101903,79195
2005,12,DF,Distrito Federal,Centro-Oeste,Industrial,35011,1656
2005,12,DF,Distrito Federal,Centro-Oeste,Outros,83897,12914
2005,12,DF,Distrito Federal,Centro-Oeste,Residencial,129532,632661
2005,12,DF,Distrito Federal,Centro-Oeste,Total,350343,
2006,1,DF,Distrito Federal,Centro-Oeste,Cativo,310762,
2006,1,DF,Distrito Federal,Centro-Oeste,Comercial,98604,79244
2006,1,DF,Distrito Federal,Centro-Oeste,Industrial,34889,1696
2006,1,DF,Distrito Federal,Centro-Oeste,Outros,77858,12911
2006,1,DF,Distrito Federal,Centro-Oeste,Residencial,123444,631352
2006,1,DF,Distrito Federal,Centro-Oeste,Total,334796,
2006,2,DF,Distrito Federal,Centro-Oeste,Cativo,324873,
2006,2,DF,Distrito Federal,Centro-Oeste,Comercial,102932,78924
2006,2,DF,Distrito Federal,Centro-Oeste,Industrial,33867,1655
2006,2,DF,Distrito Federal,Centro-Oeste,Outros,83927,12944
2006,2,DF,Distrito Federal,Centro-Oeste,Residencial,126894,632013
2006,2,DF,Distrito Federal,Centro-Oeste,Total,347621,
2006,3,DF,Distrito Federal,Centro-Oeste,Cativo,320588,
2006,3,DF,Distrito Federal,Centro-Oeste,Comercial,100264,78345
2006,3,DF,Distrito Federal,Centro-Oeste,Industrial,37832,1631
2006,3,DF,Distrito Federal,Centro-Oeste,Outros,84463,12978
2006,3,DF,Distrito Federal,Centro-Oeste,Residencial,124827,634330
2006,3,DF,Distrito Federal,Centro-Oeste,Total,347386,
2006,4,DF,Distrito Federal,Centro-Oeste,Cativo,344176,
2006,4,DF,Distrito Federal,Centro-Oeste,Comercial,107227,78147
2006,4,DF,Distrito Federal,Centro-Oeste,Industrial,43150,1614
2006,4,DF,Distrito Federal,Centro-Oeste,Outros,87326,13043
2006,4,DF,Distrito Federal,Centro-Oeste,Residencial,137694,634880
2006,4,DF,Distrito Federal,Centro-Oeste,Total,375398,
2006,5,DF,Distrito Federal,Centro-Oeste,Cativo,337791,
2006,5,DF,Distrito Federal,Centro-Oeste,Comercial,104675,78236
2006,5,DF,Distrito Federal,Centro-Oeste,Industrial,39436,1611
2006,5,DF,Distrito Federal,Centro-Oeste,Outros,86295,13095
2006,5,DF,Distrito Federal,Centro-Oeste,Residencial,135723,636801
2006,5,DF,Distrito Federal,Centro-Oeste,Total,366130,
2006,6,DF,Distrito Federal,Centro-Oeste,Cativo,319851,
2006,6,DF,Distrito Federal,Centro-Oeste,Comercial,97581,77896
2006,6,DF,Distrito Federal,Centro-Oeste,Industrial,36124,1591
2006,6,DF,Distrito Federal,Centro-Oeste,Outros,86761,13052
2006,6,DF,Distrito Federal,Centro-Oeste,Residencial,124085,636122
2006,6,DF,Distrito Federal,Centro-Oeste,Total,344552,
2006,7,DF,Distrito Federal,Centro-Oeste,Cativo,316116,
2006,7,DF,Distrito Federal,Centro-Oeste,Comercial,93021,78403
2006,7,DF,Distrito Federal,Centro-Oeste,Industrial,36189,1587
2006,7,DF,Distrito Federal,Centro-Oeste,Outros,86319,13231
