nome_datacenter;operadora;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status;endereco_corrigido;municipio_corrigido;estado_corrigido;pais_corrigido;cep_corrigido;status_geocode
Armazem DC Brusque;Armazém Cloud;-27.1076999;-48.9186753;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/blumenau/armazem-dc-brusque/;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;1.0;1.0;0.0;1.0;;;0.0;0.0;0.0;0;0;2;0;0;;12113.0;ok;ok;R. Atílio Battistoti, 199 - Azambuja, Brusque - SC, 88354-120, Brazil;Brusque;SC;Brazil;88354-120;OK
Armazem DC Joinville;Armazém Cloud;-26.2426531;-48.8834796;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/joinville/armazem-dc-joinville/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;14436.0;bloqueado;ok;R. Dona Francisca, 8300 - Distrito Industrial, Joinville - SC, 89219-600, Brazil;Joinville;SC;Brazil;89219-600;OK
ASAP SP1;ASAP Telecom;-23.6761714;-46.6992381;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/asap-sp1/;2.0;2.0;400.0;400.0;2022.0;Retrofitted;Multi-tenant (mixed use);500.0;2N;1.0;1.0;1.0;3.0;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;0.0;1.0;0.0;1.0;0;0;13;9;0;SP1;2732.0;ok;ok;Av. das Nações Unidas, 22540 - Vila Almeida, São Paulo - SP, 04795-000, Brazil;São Paulo;SP;Brazil;04795-000;OK
Ascenty - Campinas CPS1;Ascenty Data Centers;-22.848037;-47.153369;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/ascenty/;6.0;6.0;4998.0;4998.0;;;;1200.0;;1.0;1.0;1.0;3.0;;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;35;1;1;CPS01;2812.0;ok;ok;Av. Pierre Simon de Laplace, 1211 - Techno Park, Campinas - SP, 13069-320, Brazil;Campinas;SP;Brazil;13069-320;OK
Ascenty Hortolandia Campus;Ascenty Data Centers;-22.89580421484941;-47.17949818945308;1;2;Campus;Colocation;;https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-campus/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;R. Papa João Paulo II, 2 - Rp 4-16, Hortolândia - SP, 13185-324, Brazil;Hortolândia;SP;Brazil;13185-324;OK
Ascenty - Hortolandia HTL6;Ascenty Data Centers;-22.8961068;-47.181245;1;1;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-htl6/;30.0;30.0;22984.0;22984.0;;Purpose-built;;2520.0;N+1;1.0;1.0;1.0;;;;;;;;;;;;;1.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL06;12197.0;ok;ok;4R39+HG Hortolândia - São Paulo, Brazil;Hortolândia;SP;Brazil;;OK
Ascenty - Hortolandia HTL4;Ascenty Data Centers;-22.8948579;-47.1789044;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-htl04/;3.0;3.0;1997.0;1997.0;2021.0;Retrofitted;;2520.0;N+1;1.0;1.0;1.0;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL04;11686.0;ok;ok;R. Ema Frederici Geraldeli, 186 - Jardim Santa Izabel, Hortolândia - SP, 13185-321, Brazil;Hortolândia;SP;Brazil;13185-321;OK
Ascenty - Hortolandia HTL5;Ascenty Data Centers;-22.8958925;-47.1801919;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-htl05/;30.0;30.0;22984.0;22984.0;2022.0;Purpose-built;;2520.0;N+1;1.0;1.0;1.0;;;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL05;11687.0;ok;ok;R. Papa João Paulo II, 2 - Rp 4-16, Hortolândia - SP, 13185-324, Brazil;Hortolândia;SP;Brazil;13185-324;OK
Ascenty - Jundiai JDI1;Ascenty Data Centers;-23.1919541;-46.9742117;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai1/;15.0;15.0;7990.0;7990.0;2014.0;Purpose-built;;1200.0;;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;11;0;0;JDI01;7582.0;ok;ok;R. Presbítero Plinio Alves de Souza, 757 - Jardim Ermida I, Jundiaí - SP, 13212-141, Brazil;Jundiaí;SP;Brazil;13212-141;OK
Ascenty - Jundiai JDI2;Ascenty Data Centers;-23.1924667;-46.9729886;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/;13.0;13.0;8993.0;8993.0;2019.0;Purpose-built;Sole-tenant;1.526;N+2;1.0;1.0;1.0;3.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;2;0;0;JDI02;7583.0;ok;ok;Av. Beirute, 863 - Jardim Ermida I, Jundiaí - SP, 13212-215, Brazil;Jundiaí;SP;Brazil;13212-215;OK
