site_id,ano,lst_celsius
angonap-fortaleza,2020,27.636
angonap-fortaleza,2020,30.878
angonap-fortaleza,2020,29.075
angonap-fortaleza,2020,27.738
angonap-fortaleza,2020,30.564
angonap-fortaleza,2020,29.634
angonap-fortaleza,2020,29.298
angonap-fortaleza,2020,31.044
angonap-fortaleza,2020,29.758
angonap-fortaleza,2020,30.5
angonap-fortaleza,2020,30.504
angonap-fortaleza,2020,30.352
angonap-fortaleza,2020,30.552
angonap-fortaleza,2020,31.728
angonap-fortaleza,2020,31.139
angonap-fortaleza,2020,31.122
angonap-fortaleza,2020,32.574
angonap-fortaleza,2020,33.415
angonap-fortaleza,2020,31.965
angonap-fortaleza,2020,31.951
angonap-fortaleza,2020,33.344
angonap-fortaleza,2020,33.074
angonap-fortaleza,2020,32.351
angonap-fortaleza,2020,31.709
angonap-fortaleza,2020,35.576
angonap-fortaleza,2020,31.846
angonap-fortaleza,2020,28.855
angonap-fortaleza,2020,29.734
angonap-fortaleza,2020,32.694
angonap-fortaleza,2020,31.353
angonap-fortaleza,2020,29.11
angonap-fortaleza,2020,29.722
angonap-fortaleza,2021,31.011
angonap-fortaleza,2021,32.4
angonap-fortaleza,2021,28.268
angonap-fortaleza,2021,31.573
angonap-fortaleza,2021,32.414
angonap-fortaleza,2021,28.35
angonap-fortaleza,2021,31.661
angonap-fortaleza,2021,33.753
angonap-fortaleza,2021,30.726
angonap-fortaleza,2021,33.415
angonap-fortaleza,2021,28.575
angonap-fortaleza,2021,30.115
angonap-fortaleza,2021,32.546
angonap-fortaleza,2021,29.966
angonap-fortaleza,2021,31.55
angonap-fortaleza,2021,26.169
angonap-fortaleza,2021,29.98
angonap-fortaleza,2021,29.326
angonap-fortaleza,2021,30.874
angonap-fortaleza,2021,31.411
angonap-fortaleza,2021,31.391
angonap-fortaleza,2021,30.294
angonap-fortaleza,2021,30.693
angonap-fortaleza,2021,30.565
angonap-fortaleza,2021,29.669
angonap-fortaleza,2021,31.997
angonap-fortaleza,2021,33.018
angonap-fortaleza,2021,31.555
angonap-fortaleza,2021,33.597
angonap-fortaleza,2021,32.094
angonap-fortaleza,2021,32.072
angonap-fortaleza,2021,32.904
angonap-fortaleza,2021,33.815
angonap-fortaleza,2021,32.409
angonap-fortaleza,2021,32.512
angonap-fortaleza,2021,32.583
angonap-fortaleza,2021,35.492
angonap-fortaleza,2021,34.016
angonap-fortaleza,2021,32.47
angonap-fortaleza,2021,34.338
angonap-fortaleza,2021,34.072
angonap-fortaleza,2021,32.775
angonap-fortaleza,2021,33.242
angonap-fortaleza,2021,31.712
angonap-fortaleza,2021,32.346
angonap-fortaleza,2021,32.888
angonap-fortaleza,2022,32.756
angonap-fortaleza,2022,33.101
angonap-fortaleza,2022,29.891
angonap-fortaleza,2022,32.848
angonap-fortaleza,2022,31.871
angonap-fortaleza,2022,32.598
angonap-fortaleza,2022,31.42
angonap-fortaleza,2022,30.78
angonap-fortaleza,2022,29.189
angonap-fortaleza,2022,28.381
angonap-fortaleza,2022,25.424
angonap-fortaleza,2022,28.374
angonap-fortaleza,2022,30.413
angonap-fortaleza,2022,30.49
angonap-fortaleza,2022,29.504
angonap-fortaleza,2022,31.097
angonap-fortaleza,2022,27.951
angonap-fortaleza,2022,28.797
angonap-fortaleza,2022,29.714
angonap-fortaleza,2022,29.38
angonap-fortaleza,2022,29.262
angonap-fortaleza,2022,30.884
angonap-fortaleza,2022,28.431
angonap-fortaleza,2022,28.563
angonap-fortaleza,2022,30.302
angonap-fortaleza,2022,29.897
angonap-fortaleza,2022,31.728
