site_id,tier,regiao,bioma,sensor,ano,n_imagens_usadas,pct_pixels_validos,tamanho_mb,status
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2020,48,100.0,6.878,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2021,48,100.0,6.945,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2022,48,100.0,6.938,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2023,48,100.0,6.92,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2024,50,100.0,6.877,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2025,57,100.0,7.018,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2013,12,99.9973,0.967,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2014,14,99.9937,0.973,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2015,15,100.0,0.966,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2016,14,100.0,0.967,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2017,14,100.0,0.97,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2018,13,100.0,0.968,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2019,14,99.9991,0.968,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2020,14,100.0,0.969,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2021,13,100.0,0.968,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2019,98,100.0,8.159,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2020,96,100.0,8.184,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2021,96,100.0,8.173,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2022,96,100.0,8.131,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2023,98,100.0,8.083,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2024,96,100.0,8.107,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2025,116,100.0,8.184,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2013,7,99.9821,0.988,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2014,7,99.5478,0.988,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2015,7,99.9821,0.985,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2016,8,99.9678,0.986,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2017,8,100.0,0.99,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2018,6,99.9848,0.992,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2019,7,99.9955,0.989,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2020,6,99.9044,0.984,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,landsat,2021,7,99.9964,0.99,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,sentinel2,2019,98,100.0,7.779,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,sentinel2,2020,96,100.0,7.715,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,sentinel2,2021,96,100.0,7.759,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,sentinel2,2022,96,100.0,7.715,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,sentinel2,2023,96,100.0,7.711,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,sentinel2,2024,96,100.0,7.707,ok
ascenty-vinhedo,1,Sudeste,Mata Atlântica,sentinel2,2025,116,100.0,7.784,ok
clickip-manaus,1,Norte,Amazônia,landsat,2013,5,99.8642,0.979,ok
clickip-manaus,1,Norte,Amazônia,landsat,2014,8,99.8025,0.98,ok
clickip-manaus,1,Norte,Amazônia,landsat,2015,8,100.0,0.98,ok
clickip-manaus,1,Norte,Amazônia,landsat,2016,8,100.0,0.981,ok
clickip-manaus,1,Norte,Amazônia,landsat,2017,7,99.9115,0.981,ok
clickip-manaus,1,Norte,Amazônia,landsat,2018,7,100.0,0.976,ok
clickip-manaus,1,Norte,Amazônia,landsat,2019,8,99.8588,0.981,ok
clickip-manaus,1,Norte,Amazônia,landsat,2020,8,100.0,0.973,ok
clickip-manaus,1,Norte,Amazônia,landsat,2021,7,100.0,0.979,ok
