variavel,n,vies,desvio,rmse,r2
blue,1500,0.005163276058311263,0.012388707283909112,0.013421605262438355,0.8638661512364364
green,1500,0.006809140262504418,0.010964640425723168,0.012906886951541083,0.9131263332830191
red,1500,0.007597836121916771,0.01141380717548207,0.013711386070510494,0.9490790361592825
nir,1500,0.01024174052849412,0.02819800727198121,0.030000347717379944,0.6447446946017193
swir1,1500,0.021013349189733466,0.024086454578502864,0.031964326026555814,0.9076197127539534
swir2,1500,0.024633130814569693,0.015506433953632678,0.029107398160709508,0.9425888423806352
ndvi,1500,-0.01551112605266618,0.034584209631376775,0.037903332139123516,0.9756823045645142
ndbi,1500,0.03403835747721976,0.029796765226261925,0.04523778285566142,0.9645334564072093
bsi,1500,0.025390155076738627,0.028442122733468318,0.03812629434401554,0.96945381810462
