preditor,coeficiente_padronizado,p_valor_permutacao
intercepto,-0.3280822222222224,1.0
delta_prop_vegetacao_densa,0.45629702482839496,0.16845
delta_prop_solo_exposto_obras,0.2008091237272948,0.4157
delta_prop_construida_urbana,-0.17164607657983985,0.58315
