variavel,horizonte,media,mediana,desvio_padrao,n_pares
emprego_formal_total,-3,-10762.285714285714,-1412.0,37827.96237914807,14
emprego_formal_total,-2,971.5714285714286,-1378.0,17863.16221344184,14
emprego_formal_total,-1,0.0,0.0,0.0,15
emprego_formal_total,0,-8277.933333333332,-816.0,42869.61613755076,15
emprego_formal_total,1,-8584.933333333332,0.0,78300.75192985666,15
emprego_formal_total,2,-19092.615384615383,0.0,107093.22878263473,13
emprego_formal_total,3,6223.583333333333,-1804.5,34063.425545612925,12
emprego_formal_total,4,-12089.0,-12089.0,,1
lst_media_celsius,-3,0.09777857142857219,-0.13289999999999758,0.6686519621062759,14
lst_media_celsius,-2,-0.01253571428571476,-0.0018000000000029104,0.38930874954530204,14
lst_media_celsius,-1,0.0,0.0,0.0,15
lst_media_celsius,0,-0.13914666666666708,-0.2997999999999976,0.352015303779874,15
lst_media_celsius,1,0.012453333333332732,0.009399999999999409,0.3365569870375745,15
lst_media_celsius,2,-0.23555333333333314,-0.12800000000000367,0.8543492618584587,15
lst_media_celsius,3,-0.20795384615384713,-0.16140000000000043,0.33700014988964255,13
lst_media_celsius,4,-0.09950000000000259,-0.09950000000000259,,1
numero_empresas,-3,-5570.0,-648.0,16499.41853054688,14
numero_empresas,-2,-5373.928571428572,-198.0,15409.84065940825,14
numero_empresas,-1,0.0,0.0,0.0,15
numero_empresas,0,-8566.266666666666,-13.0,35939.80471460313,15
numero_empresas,1,-8722.533333333333,-72.0,41580.500972496826,15
numero_empresas,2,-11168.692307692309,0.0,49871.24901748604,13
numero_empresas,3,1464.1666666666667,1416.5,14100.649145813584,12
numero_empresas,4,-32425.0,-32425.0,,1
pib_mil_reais,-3,-2199547.6428571427,-531455.5,7232576.288120401,14
pib_mil_reais,-2,538231.7857142857,-221222.5,8943687.864452647,14
pib_mil_reais,-1,0.0,0.0,0.0,15
pib_mil_reais,0,769702.4666666667,0.0,7878503.308566752,15
pib_mil_reais,1,-1701692.4615384615,612586.0,17428796.1499958,13
pib_mil_reais,2,5928456.5,1502658.5,10760816.147118865,12
pib_mil_reais,3,5930266.6,1413766.5,16892365.97725206,10
pib_mil_reais,4,-13167573.0,-13167573.0,,1
populacao,-3,37639.8,3833.0,65707.27434750111,10
populacao,-2,35270.27272727273,1780.0,71398.6689765165,11
populacao,-1,0.0,0.0,0.0,14
populacao,0,45428.25,942.0,153322.3950244149,12
populacao,1,23313.76923076923,321.0,59637.686903436384,13
populacao,2,31897.833333333332,8230.0,68439.70139650248,12
populacao,3,23949.5,24838.5,30751.74369491554,10
populacao,4,57837.0,57837.0,,1
prop_agua,-3,-0.0013952142857142917,-0.00011899999999999997,0.00525543676262345,14
prop_agua,-2,-0.000984285714285722,-0.0003415000000000002,0.005048087321391689,14
prop_agua,-1,0.0,0.0,0.0,15
prop_agua,0,0.0007935333333333291,0.0005330000000000008,0.005870730313131724,15
prop_agua,1,0.003151799999999995,-0.00019800000000000026,0.014996683186624973,15
prop_agua,2,-0.0003978000000000043,-0.0002500000000000002,0.006319465892892258,15
prop_agua,3,-0.002442384615384622,-0.000582,0.005131731993821406,13
prop_agua,4,-0.00019700000000000013,-0.00019700000000000013,,1
prop_construida_urbana,-3,-0.0019137857142857266,0.003208499999999982,0.015515877050391218,14
