variavel,fase,n_pares,media,mediana,ic95_baixo,ic95_alto,cohen_d,magnitude,p_valor,p_valor_fdr,significativo_fdr,direcao
emprego_formal_total,durante,15,-6922.425555555556,950.2,-40938.12452777778,15529.071861111112,-0.11260330959145275,desprezível,0.9390869140625,0.9837183459051724,False,diminui
emprego_formal_total,pos,12,-24170.027777777777,-3109.0,-93363.35069444444,21400.06875,-0.2146712426762483,pequena,0.6630859375,0.9837183459051724,False,diminui
emprego_formal_total,pre,14,-4895.357142857143,-1450.0,-15071.198214285714,5151.5125,-0.24093933212922225,pequena,0.3876953125,0.9837183459051724,False,diminui
lst_media_celsius,durante,15,-0.14697600000000013,-0.2524999999999995,-0.29320983333333406,0.002130850000000066,-0.4906094609568493,pequena,0.07891845703125,0.591888427734375,False,diminui
lst_media_celsius,pos,13,-0.3422833333333338,-0.4058500000000027,-0.8208081730769218,0.031663685897434596,-0.4128541558709069,pequena,0.140625,0.84375,False,diminui
lst_media_celsius,pre,14,0.04262142857142871,-0.0774000000000008,-0.19023276785714296,0.2931503571428578,0.08776891675991064,desprezível,0.759033203125,0.9837183459051724,False,aumenta
numero_empresas,durante,15,-8508.646666666667,-13.0,-29678.54966666667,3507.5783333333325,-0.21838802490643097,pequena,0.8287353515625,0.9837183459051724,False,diminui
numero_empresas,pos,12,-12637.27777777778,722.1666666666666,-44732.69375,6221.618749999992,-0.2424205133347149,pequena,0.751953125,0.9837183459051724,False,diminui
numero_empresas,pre,14,-5471.964285714285,-423.0,-14476.876785714287,1395.924999999998,-0.3433098859255076,pequena,0.279052734375,0.9837183459051724,False,diminui
pib_mil_reais,durante,15,1414609.8099999998,957302.0,-5492377.245444444,6835775.4105555555,0.10979520448919132,desprezível,0.7294921875,0.9837183459051724,False,aumenta
pib_mil_reais,pos,8,2305924.8958333326,1318329.1666666665,-3734535.6687499997,8834089.9375,0.2389952987086234,pequena,0.5078125,0.9837183459051724,False,aumenta
pib_mil_reais,pre,14,-830657.9285714285,-140006.25,-4564030.473214285,2964699.9124999978,-0.1120772228363288,desprezível,0.7041015625,0.9837183459051724,False,diminui
populacao,durante,13,61949.32307692307,3237.0,3280.3494871794874,155648.0246153846,0.40623537536872695,pequena,0.0439453125,0.591888427734375,False,aumenta
populacao,pos,12,40043.222222222226,15728.833333333334,11972.561111111114,80453.13125,0.6111472823070301,média,0.005859375,0.17578125,False,aumenta
populacao,pre,11,35012.86363636364,4723.0,2526.177272727273,78199.17045454543,0.5229660189498216,média,0.076171875,0.591888427734375,False,aumenta
prop_agua,durante,15,0.00029443222222221525,0.00014533333333329365,-0.0025241293055555582,0.003293973055555538,0.04929330787104349,desprezível,0.75848388671875,0.9837183459051724,False,aumenta
prop_agua,pos,13,0.0006282820512820488,-0.00026000000000000025,-0.004291077564102563,0.007106746474358973,0.055677727800742864,desprezível,0.89892578125,0.9837183459051724,False,aumenta
prop_agua,pre,14,-0.0011897500000000072,-0.0003217499999999999,-0.004038939285714286,0.0008059169642857083,-0.24032863314951877,pequena,0.5255126953125,0.9837183459051724,False,diminui
prop_construida_urbana,durante,15,-0.0009649244444444472,0.0029849999999999877,-0.010303409833333336,0.0056555647777777876,-0.05805414934500782,desprezível,0.92999267578125,0.9837183459051724,False,diminui
prop_construida_urbana,pos,13,-0.003986948717948721,-0.0033773333333333246,-0.011660966025641028,0.0030476221153846288,-0.28186752776160473,pequena,0.34228515625,0.9837183459051724,False,diminui
prop_construida_urbana,pre,14,-0.0035581071428571506,-0.0024960000000000503,-0.008276108035714297,0.0014589473214285656,-0.37020698930253804,pequena,0.1859130859375,0.9295654296875,False,diminui
prop_solo_exposto_obras,durante,15,1.5557777777779072e-05,-8.549999999999877e-05,-0.0016521116666666667,0.002017913888888889,0.004170642359740695,desprezível,0.98876953125,0.98876953125,False,aumenta
prop_solo_exposto_obras,pos,13,0.001253538461538461,-0.0005445000000000007,-0.0023583006410256412,0.005852639423076919,0.15982556465140996,desprezível,0.67041015625,0.9837183459051724,False,aumenta
prop_solo_exposto_obras,pre,14,0.00042067857142857185,0.0006302499999999995,-0.0011003910714285714,0.0017994964285714288,0.1437257246643606,desprezível,0.60595703125,0.9837183459051724,False,aumenta
prop_vegetacao_densa,durante,15,-0.0010146511111111109,0.005719500000000016,-0.01401984144444444,0.01074140683333333,-0.03978898302211537,desprezível,0.88031005859375,0.9837183459051724,False,diminui
prop_vegetacao_densa,pos,13,-0.0004789615384615403,0.008090000000000014,-0.015219566666666656,0.014262379807692297,-0.01704614042851429,desprezível,0.950927734375,0.9837183459051724,False,diminui
prop_vegetacao_densa,pre,14,0.0028444285714285733,0.005279500000000038,-0.0061769053571428595,0.011722616071428585,0.16333260514985323,desprezível,0.54638671875,0.9837183459051724,False,aumenta
prop_vegetacao_rala,durante,15,0.0016696744444444406,-0.0025857500000000117,-0.011215371527777783,0.015361285055555542,0.06098787692878604,desprezível,0.8145751953125,0.9837183459051724,False,aumenta
prop_vegetacao_rala,pos,13,0.002583858974358976,0.009723999999999974,-0.011848413141025636,0.016445067307692303,0.09563205838323889,desprezível,0.736328125,0.9837183459051724,False,aumenta
prop_vegetacao_rala,pre,14,0.0014832500000000034,0.004230750000000026,-0.009797533035714286,0.011944920535714287,0.06873662769227622,desprezível,0.801025390625,0.9837183459051724,False,aumenta
